personID,textID,interest,complexity,comprehension,familiarity
20,6474,4.67,3.00,5.67,5.50
20,4094,3.00,2.00,6.33,5.50
20,6366,6.00,3.00,6.00,5.00
20,5938,4.67,3.00,5.67,5.00
20,3819,5.00,5.50,4.33,4.00
20,13165,6.00,3.00,6.00,4.75
20,6046,3.67,2.00,6.00,4.75
20,4701,2.00,2.00,6.00,4.75
20,11299,3.67,2.00,6.00,4.50
20,11143,3.33,2.50,5.67,4.50
20,10879,4.00,3.50,5.00,3.75
20,2725,5.00,2.50,6.00,4.25
20,9977,2.00,2.50,6.00,4.25
20,4584,4.00,3.00,5.00,4.75
21,3775,5.33,2.50,5.67,2.75
21,2725,3.33,3.00,4.33,2.75
21,6366,3.67,4.50,5.33,2.75
21,10879,6.00,2.00,4.67,3.50
21,4094,5.67,2.00,7.00,3.75
21,6046,6.67,2.00,6.33,3.25
21,7784,5.00,5.00,5.00,3.75
21,5938,3.00,3.50,5.67,3.75
21,322,6.00,1.50,6.67,4.00
21,9977,4.00,3.00,5.67,4.25
21,13165,6.00,1.50,6.33,4.00
21,4701,4.67,1.50,6.67,3.75
21,6474,7.00,2.00,7.00,4.50
21,4504,7.00,2.00,6.67,4.25
21,4584,4.67,3.00,5.67,4.75
21,11299,5.67,1.00,6.67,5.00
21,3819,7.00,4.00,6.00,5.25
21,11143,5.67,2.50,7.00,5.50
22,5938,3.67,4.00,4.00,3.50
22,2725,3.67,5.50,3.33,3.25
22,4094,3.33,3.00,5.00,3.75
22,4701,4.33,2.50,5.67,2.75
22,4584,2.67,4.50,3.67,3.50
22,4504,5.00,4.00,5.00,3.00
22,10879,2.67,3.00,4.00,2.25
22,13165,5.33,4.50,5.33,2.75
22,6046,4.00,3.00,4.67,2.75
22,6366,3.33,4.50,4.67,3.00
22,9977,3.33,4.00,4.67,2.75
22,7784,3.00,3.00,4.33,3.00
22,6474,4.00,4.00,4.67,3.75
22,3819,5.00,3.50,5.00,3.75
22,11143,5.67,3.00,5.00,4.25
