"document","fix150","sac70","fix300","sacm","sac105","fix600","fixm","sac35","sac140","fix450","sac","pid","tid"
"text68",15,70,56,23,59,29,49,27,4,35,0,"06","7784"
"text69",16,54,42,23,50,34,58,28,15,21,0,"06","9977"
"text70",11,34,47,21,43,19,22,15,12,27,0,"07","11143"
"text71",3,24,25,19,49,28,25,9,11,32,0,"07","11299"
"text72",4,20,32,14,48,19,20,8,16,32,0,"07","13165"
"text73",14,38,46,23,60,34,15,10,16,39,0,"07","2725"
"text74",11,32,41,18,52,18,21,6,12,30,0,"07","322"
"text75",9,36,28,18,45,32,28,6,19,28,0,"07","3775"
"text76",11,44,30,17,44,32,32,11,17,29,0,"07","3819"
"text77",8,27,40,20,48,11,13,6,15,45,0,"07","4094"
"text78",6,15,35,19,47,18,5,4,16,38,0,"07","4504"
"text79",9,28,39,20,48,13,18,7,9,34,0,"07","4584"
"text80",5,36,26,18,39,19,34,10,11,31,0,"07","4701"
"text81",11,42,42,19,49,23,23,13,12,37,0,"07","5938"
"text82",6,27,26,16,35,23,25,4,26,29,0,"07","6046"
"text83",13,36,31,18,51,21,27,4,9,27,0,"07","6366"
"text84",5,28,26,22,48,25,20,2,11,36,0,"07","6474"
"text85",11,44,33,16,51,21,26,7,14,42,0,"07","7784"
"text86",6,29,26,18,45,21,42,18,10,26,0,"08","10879"
"text87",15,40,22,19,36,20,28,10,6,27,0,"08","13165"
"text88",22,55,39,35,52,36,48,32,20,50,0,"08","3775"
"text89",20,51,49,37,73,36,55,26,22,50,0,"08","4094"
"text90",24,66,53,45,68,51,51,42,19,62,0,"08","4504"
"text91",25,64,50,40,46,43,52,20,23,24,0,"08","4584"
"text92",25,95,59,32,56,47,65,62,15,65,0,"08","4701"
"text93",27,61,60,40,68,35,44,33,16,53,0,"08","5938"
"text94",16,58,41,24,40,33,42,37,14,42,0,"08","6474"
"text95",7,45,35,27,42,33,30,12,9,31,0,"08","7784"
"text96",25,52,61,46,56,30,33,21,20,47,0,"09","11299"
"text97",18,42,60,58,62,36,49,21,30,51,0,"09","3775"
"text98",22,44,60,52,63,48,25,19,31,55,0,"09","4504"
"text99",25,43,57,45,67,48,28,28,26,52,0,"09","4584"
"text100",19,66,90,52,88,46,46,23,36,65,0,"09","5938"
"text101",19,57,82,35,66,28,20,22,32,64,0,"09","6366"
"text102",24,44,75,57,73,39,36,26,29,56,0,"09","6474"
"text103",28,47,66,57,82,36,44,15,40,69,1,"09","7784"
"text104",25,89,78,29,59,37,39,44,8,51,0,"10","2725"
"text105",28,80,55,26,48,33,32,27,14,48,0,"10","3775"
"text106",21,62,50,28,38,18,18,20,5,47,0,"10","4094"
"text107",29,67,65,30,49,24,25,20,18,42,0,"10","7784"
"text108",5,25,27,21,52,16,29,9,16,47,0,"12","10879"
"text109",11,32,29,24,43,30,33,12,24,33,0,"12","11299"
"text110",10,36,32,40,74,48,44,11,19,47,0,"12","13165"
"text111",10,26,32,26,81,47,53,13,19,24,0,"12","2725"
"text112",10,32,48,38,83,39,40,10,25,52,0,"12","3775"
"text113",8,20,18,28,44,31,23,8,15,36,0,"12","4094"
"text114",5,22,27,28,46,34,22,9,17,35,0,"12","4584"
"text115",8,18,34,28,51,30,21,12,17,34,0,"12","4701"
"text116",8,35,35,30,94,56,52,20,15,44,0,"12","5938"
"text117",9,29,35,27,83,37,33,15,22,63,0,"12","6046"
"text118",10,20,28,24,66,25,26,15,12,49,0,"12","6366"
"text119",9,31,55,41,72,55,42,18,43,45,0,"12","6474"
"text120",10,31,42,31,57,36,36,16,23,35,0,"12","7784"
"text121",19,27,53,40,84,44,34,12,32,46,0,"12","9977"
"text122",12,54,27,28,46,29,64,17,14,28,0,"13","10879"
"text123",11,50,26,23,47,28,57,15,14,28,0,"13","11143"
"text124",12,46,23,24,58,23,62,10,7,26,0,"13","11299"
"text125",15,53,39,34,48,24,65,16,16,25,0,"13","2725"
"text126",12,46,25,21,50,26,53,15,13,30,0,"13","322"
"text127",13,54,42,23,62,32,51,24,9,35,0,"13","3775"
"text128",9,46,28,30,63,32,60,9,14,34,0,"13","3819"
"text129",13,52,38,20,47,26,48,18,13,26,0,"13","4094"
"text130",16,37,37,39,70,24,63,15,22,44,0,"13","4504"
"text131",13,50,26,26,57,28,58,12,5,26,0,"13","4584"
"text132",17,58,31,32,51,31,61,27,7,36,0,"13","4701"
"text133",16,51,39,22,59,24,54,26,6,32,0,"13","5938"
"text134",20,53,27,26,48,38,46,18,13,28,0,"13","6046"
"text135",14,39,18,26,47,22,59,15,12,27,0,"13","6366"
"text136",21,49,43,35,70,34,64,26,16,36,1,"13","6474"
"text137",26,55,56,43,76,46,66,26,22,29,0,"13","7784"
"text138",16,59,37,34,60,31,60,18,10,38,0,"13","9977"
"text139",33,19,66,44,46,11,7,3,24,20,0,"14","10879"
"text140",17,19,40,31,42,20,18,8,25,31,0,"14","11143"
"text141",13,14,22,30,34,18,16,3,26,39,0,"14","13165"
"text142",34,19,52,31,29,9,2,8,29,20,0,"14","322"
"text143",38,20,64,70,49,21,12,9,38,53,1,"14","3819"
"text144",34,25,79,61,35,10,2,9,28,34,0,"14","4504"
"text145",17,23,48,38,42,18,12,3,31,43,0,"14","4584"
"text146",44,33,58,51,40,7,4,7,24,43,0,"14","4701"
"text147",40,32,62,42,47,13,9,11,34,43,0,"14","5938"
"text148",43,15,72,57,51,9,4,10,36,42,0,"14","6046"
"text149",88,29,75,61,48,4,1,12,36,19,0,"14","6366"
"text150",19,18,41,39,42,18,10,4,31,47,0,"14","6474"
"text151",21,17,57,32,35,6,2,9,19,27,0,"15","11299"
"text152",29,15,35,27,21,6,1,2,24,19,0,"15","13165"
"text153",34,18,66,38,43,2,3,3,19,17,0,"15","322"
"text154",30,23,64,34,35,9,3,6,25,18,0,"15","3819"
"text155",20,14,43,36,21,2,2,4,22,31,0,"15","4504"
"text156",22,10,28,31,29,11,11,9,13,21,0,"15","4701"
"text157",31,15,62,59,27,7,1,1,19,21,0,"15","5938"
"text158",19,12,47,26,23,1,0,0,23,18,0,"15","6046"
"text159",36,12,46,40,33,1,2,5,18,24,0,"15","6366"
"text160",24,12,63,33,44,5,5,5,22,20,0,"15","6474"
"text161",24,7,43,26,39,10,2,7,19,20,0,"15","9977"
"text162",20,43,25,25,27,13,43,20,5,22,2,"16","11299"
"text163",15,60,47,25,28,26,57,41,9,19,0,"16","13165"
"text164",18,49,17,24,35,22,59,26,7,26,0,"16","2725"
"text165",17,51,31,27,31,21,56,25,5,17,2,"16","322"
"text166",9,29,13,22,34,17,44,12,3,18,0,"16","3775"
"text167",11,35,25,25,21,17,38,19,7,17,0,"16","3819"
"text168",22,69,36,34,56,42,68,46,7,45,0,"16","4504"
"text169",31,96,68,44,43,29,80,52,13,41,0,"16","4584"
"text170",16,53,25,27,47,29,73,39,9,33,0,"16","5938"
"text171",13,57,34,27,45,23,68,23,10,25,0,"16","6046"
"text172",8,49,21,19,40,23,58,21,7,27,0,"16","6474"
"text173",23,51,73,30,60,26,24,23,23,42,0,"17","10879"
"text174",27,59,62,28,62,28,27,18,17,41,0,"17","11143"
"text175",27,51,49,27,47,20,21,24,12,45,0,"17","13165"
"text176",20,43,41,22,49,17,23,13,10,37,0,"17","2725"
"text177",27,53,48,30,42,25,19,14,15,36,0,"17","3775"
"text178",45,70,73,42,64,27,25,16,22,45,0,"17","3819"
"text179",29,35,69,34,45,11,5,9,24,34,0,"17","4094"
"text180",23,46,58,27,56,24,9,10,16,42,0,"17","4504"
"text181",37,61,85,56,76,26,35,26,22,59,0,"17","4584"
"text182",32,48,51,34,43,25,9,18,15,42,0,"17","4701"
"text183",84,98,141,76,99,29,27,33,40,66,0,"17","5938"
"text184",15,43,44,15,37,19,19,15,23,37,0,"17","6046"
"text185",86,136,155,68,118,47,21,48,34,96,0,"17","6366"
"text186",46,52,72,34,50,17,6,19,19,34,0,"17","6474"
"text187",29,45,53,37,42,19,23,14,21,36,0,"17","9977"
"text188",8,36,21,17,44,25,31,9,7,29,0,"19","10879"
"text189",5,20,14,17,51,25,31,2,15,31,0,"19","11143"
"text190",8,38,25,17,59,35,36,3,18,32,0,"19","11299"
"text191",4,23,23,18,42,24,25,6,15,29,0,"19","13165"
"text192",9,24,27,26,57,35,27,12,18,40,0,"19","2725"
"text193",7,21,13,17,48,25,30,7,14,33,0,"19","322"
"text194",5,19,17,24,57,33,30,4,10,30,0,"19","3775"
"text195",12,33,23,25,57,29,40,12,7,31,0,"19","3819"
"text196",8,31,26,26,58,33,23,6,14,46,0,"19","4094"
"text197",18,20,31,22,50,14,17,6,16,35,0,"19","4504"
"text198",9,39,26,21,44,31,31,9,12,29,0,"19","4584"
"text199",5,17,18,17,48,22,29,5,12,26,0,"19","4701"
"text200",8,32,20,14,42,27,27,7,13,27,0,"19","5938"
"text201",3,21,25,14,57,33,29,5,12,20,0,"19","6046"
"text202",8,25,21,24,55,27,31,10,9,37,0,"19","6366"
"text203",14,26,38,23,62,29,24,6,16,29,0,"19","6474"
"text204",10,21,24,24,56,34,25,10,10,29,0,"19","7784"
"text205",12,20,23,18,44,17,16,9,15,39,0,"19","9977"
"text206",51,21,41,35,17,0,1,15,12,8,0,"20","10879"
"text207",27,35,51,22,41,19,9,24,16,33,0,"20","13165"
"text208",51,50,72,35,43,11,11,28,22,34,0,"20","2725"
"text209",26,39,40,29,49,26,15,13,13,37,0,"20","3775"
