"","personID","textID","interest","complexity","comprehension","familiarity"
"428","29",4584,0.999999999999999,4.6,4.34,4.75
"429","29",5938,4.42489270386266,2.2,5,4.75
"430","29",2725,6.57510729613734,2.2,7,3.75
"431","29",3775,6.57510729613734,2.2,5,4.5
"432","29",10879,2.71244635193133,4,1,4.5
"433","30",5938,3.25140712945591,5.66666666666667,1,1.5
"434","30",4094,3.99437148217636,2.33333333333333,4.99,1.75
"435","30",13165,6.24577861163227,2.33333333333333,4.99,2
"436","30",6046,6.24577861163227,4.33333333333333,4.99,1.75
"437","30",322,7,3,4,2.25
"438","30",2725,3.25140712945591,2.33333333333333,4.99,2.75
"439","30",6366,2.12570356472795,5.66666666666667,4,3.25
"440","30",10879,1,3.66666666666667,2.98,3.25
"441","30",4504,6.62851782363977,2.33333333333333,4.99,3.25
"442","30",3819,4.37711069418386,6.33333333333333,1.99,3.5
"443","30",4584,6.62851782363977,4.33333333333333,1.99,4.75
"444","30",11299,2.49718574108818,1,7,5
"445","30",7784,3.99437148217636,7,1,2.5
"446","30",6474,2.12570356472795,2.33333333333333,4.99,3.5
"447","30",3775,5.12007504690432,3.66666666666667,4,2.75
"448","30",11143,4.74859287054409,5,1,4
"449","30",4701,5.50281425891182,1.66666666666667,7,3.25
"450","30",9977,1,5.66666666666667,1.99,2.5
"451","32",4504,5.995,1.75,4.495,3.5
"452","32",2725,7,1.75,6.505,4
"453","32",6366,2.5,4.75,2.995,3.25
"454","32",6474,4,3.25,5.5,4
"455","32",4701,2.005,1,4.495,3.5
"456","32",11299,2.005,4.75,2.005,4.5
"457","32",3819,4.495,5.5,2.995,3.5
"458","32",7784,5.995,4,3.505,3.25
"459","32",9977,2.005,4,5.005,3.25
"460","32",6046,7,1.75,5.005,3.25
"461","32",10879,7,1,7,3.25
"462","32",4584,5.995,5.5,2.005,3.75
"463","32",13165,7,2.5,5.995,2.75
"464","32",322,2.995,7,1,2.5
"465","32",11143,6.505,3.25,3.505,3.5
"466","32",4094,6.505,1,7,3
"467","32",5938,1,3.25,4.495,3
"468","32",3775,3.505,4,4,3.5
"469","34",5938,2.995,5.5,4,3.25
"470","34",7784,4.495,1,7,3.75
"471","34",4504,5.005,7,1,3.25
"472","34",10879,1.495,5.5,5.5,3.25
"473","34",6046,7,1,7,3.75
"474","34",4701,1,1,7,3.25
"475","34",4094,1,2.5,5.5,2.25
"476","34",3819,7,2.5,5.5,2.25
"477","34",6366,1,5.5,5.5,2.5
"478","34",2725,5.5,2.5,5.5,3.25
"479","34",11143,5.5,2.5,5.5,3.75
"480","34",13165,7,1,7,4
"481","34",6474,5.005,2.5,7,4.25
"482","34",9977,2.995,1,7,4
"483","34",4584,4,1,5.5,3.75
"484","34",3775,7,1,7,4.5
"485","34",11299,1,1,7,3.5
"486","34",322,7,1,7,5.5
"487","35",3775,1.66,7,1,3.25
"488","35",3819,3.66,7,2.69957081545064,4.25
"489","35",11143,3.66,3.25,4.42489270386266,3.75
"490","35",7784,5,3.25,5.27467811158798,4
"491","35",4701,3,1,7,4
"492","35",6046,5,1,6.15021459227468,4
"493","35",4094,5,1.75,7,5.5
"494","35",2725,7,1,7,5.75
"495","35",6366,4.34,2.5,4.42489270386266,5.75
"496","35",6474,7,1,7,6
"497","35",9977,7,1,7,6.25
"498","35",11299,1.66,1,7,6.5
"499","35",10879,7,1,7,3
"500","35",13165,4.34,2.5,4.42489270386266,2.75
"501","35",5938,2.34,2.5,4.42489270386266,3.25
"502","35",322,4.34,2.5,4.42489270386266,2.75
"503","35",4504,3.66,1,7,3.5
"504","35",4584,1,1.75,6.15021459227468,3.5
"505","36",5938,4.6,2.71428571428571,5.61431870669746,2.75
"506","36",322,3.796,7,0.999999999999999,2.5
"507","36",4094,4.6,2.71428571428571,6.54272517321016,3.25
"508","36",4584,3.796,7,3.30023094688222,2.75
"509","36",6046,5.8,1,7,4
"510","36",11143,6.196,2.71428571428571,5.61431870669746,4
"511","36",6474,6.196,1.85714285714286,7,4.5
"512","36",4504,7,1,7,5
"513","36",4701,3.4,1,7,4.75
"514","36",7784,7,1.85714285714286,7,5.25
"515","36",13165,7,1.85714285714286,7,5.75
"516","36",11299,1,1,7,5.5
"517","36",9977,6.196,1.85714285714286,7,4.25
"518","36",3775,6.196,1,7,3.75
"519","36",6366,6.604,1.85714285714286,7,3.5
"520","36",3819,5.404,5.28571428571429,4.22863741339492,3.5
"521","36",2725,4.6,1,7,4.25
"522","36",10879,5.404,7,4.22863741339492,3
